	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
ERR315326_1	0.044692383746000604	0.0	0.0	0.18111517346850586	0.0	0.0	0.0	3.415978375490492e-05	0.0	0.0	0.000859687891165107	0.0009735538370147902	0.0010361801072321158	0.0	0.0003131313510866284	0.0034330582673679447	0.0007572085399003923	0.0032907258350558404	0.00705968864268035	0.001707989187745246	0.007890910047383036	0.005687603995191669	0.005402939130567461	0.004400918807090251	0.007412673074814368	0.007287420534379716	0.0047083568608843945	0.005106887671358286	0.0025961435653727737	0.005471258698077271	0.0027384759976848776	0.004076400861418653	0.006626998048451555	0.0027498625922698456	0.005864096211258678	0.00608613480566556	0.001633976322942952	0.01742718301229399	0.007885216750090551	0.0016225897283579835	0.005129660860528222	0.003108540321696348	0.00426427967207063	0.013288155880658015	0.008192654803884696	0.0016966025931602776	0.005642057616851796	0.0037120298346996674	0.005380165941397525	0.003051607348771506	0.00426427967207063	0.003279339240470872	0.001707989187745246	0.008955556641077573	0.07795262652869302
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
ERR315326_2	0.03787181358960459	0.03699504580656203	0.05580570006092967	0.035583108078025956	0.047003862446749166	0.0019471076740295804	0.0004440771888137639	0.0027783290787322668	0.0005351699454935104	0.00766317815568367	0.0011842058368367037	0.0011728192422517355	0.0006490358913431934	0.005123967563235738	0.003131313510866284	0.00043838389152127974	0.0009450873505523694	0.00021065199982191367	0.002186226160313915	0.0022089993494838513	0.0007230487561454874	0.002066666917171748	0.0017592288633776032	0.0007629018371928765	0.0010589532964020525	0.008539945938726229	0.001372084647488681	0.0008255281074102022	0.001753535566085119	0.010663545828822818	0.0023911848628433443	0.00467419707712949	0.0009507806478448536	0.0003131313510866284	0.0023171719980410502	0.009855097613290068	0.0013322315664412918	0.0012809918908089344	0.005938109076060971	0.001189899134129188	0.003245179456715967	0.008984023127539993	0.0009109275667974645	0.0014631774041684274	0.01236584171927558	0.0006775023778056142	0.0008426079992876547	0.0023570250790884394	0.0010077136207696951	0.0012126723232991246	0.0008881543776275278	0.00437245232062783	0.0035526175105101113	0.01944261025383338	0.16261195726793237
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
ERR315327_1	0.032337795851266365	0.14977848936156674	0.028128335039143908	0.0	0.09117235278348965	0.005416825541180845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4473609372805025e-05	0.00048131431766516543	0.018787574128523322	0.00018763100519150516	0.0013542063852952113	0.0013786799946680164	0.0015907846092323263	0.0028307808174544476	0.000978944374912201	0.0021210461456431023	0.0006526295832748006	0.00042420922912862036	0.0014521008227864312	0.0008973656770028509	0.004029987676721894	0.001101312421776226	0.0015092059113229763	0.0022270984529252575	0.007766292040970127	0.005669719504699831	0.00010605230728215509	0.00017131526560963515	0.002749202119545098	0.004356302468359294	3.263147916374003e-05	0.0003018411822645953	0.0015255216509048465	0.007521555947242077	0.014292587873718135	0.0007586818905569557	8.157869790935008e-06	0.010515494160515225	0.009079709077310663	0.013142328233196296	0.0008239448488844358	0.013093381014450687	0.025158870435243567	0.01166575380103706	0.012595750957203652	0.0005547351457835805
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
ERR315327_2	0.02165098642514151	0.004095250635049374	0.0001142101770730901	0.015695741477758957	0.007652081863897037	0.0329741096949593	0.006330506957765565	0.013998904561244474	0.028813596101582444	0.003091832650764368	0.05014642560487749	0.002373940109162087	0.035682522465549725	0.03609857382488741	0.021185987847058215	0.012636540306158326	0.0028307808174544476	0.061959021062151384	0.04431354870435896	0.060147973968563806	0.04455012692829608	0.026888338830921787	0.03192990236171962	0.035462259981194476	0.04339170941798331	0.05184326252139198	0.043766971428366316	0.04694038277704004	0.04698117212599471	0.05382562488058918	0.021903880388660493	0.032272532892938896	0.05726824593236375	0.04716064526139528	0.08703631279948561	0.06468374957232369	0.07494634976931992	0.01521442716009379	0.08471131990906912	0.07944949389391605	0.07777713058677437	0.0845644782528323	0.035437786371821677	0.01058891498863364	0.007244188374350286	0.043155131194046195	0.05283036476609511	0.058108506520830064	0.024408346414477543	0.06306849135371854	0.05926692403114283	0.061942705322569507	0.0576516658125377	0.08886367563265504	0.2258506251620357
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
ERR315336_1	0.122742770397741	0.010823963547526596	0.0010311442161961637	0.14063830877705077	0.0018731436353385937	0.0	0.0	0.0	0.0	0.0	0.0001220289013249898	0.0	4.576083799687118e-05	0.0	0.0	0.0	0.0007382748530161883	0.0010006369908649164	0.0006894632924861925	0.0008755573670068019	0.0	0.0	0.0006620067896880697	3.660867039749694e-05	0.00029592008571310027	0.00015863757172248676	0.00010372456612624134	0.0011440209499217794	9.152167599374235e-05	0.0	2.4405780264997962e-05	0.0	0.000323376588511223	0.0011867310653855259	0.00011592745625874033	0.00035998525890871993	0.002471085251831044	0.0	0.00012507962385811455	0.0	0.0001891447970537342	0.0007047169051518162	1.5253612665623725e-05	0.0011348687823224052	0.027599886757179573	0.004463207065961502	0.004182540592914025	0.0008816588120730513	0.0005643836686280779	0.00029286936317997553	3.660867039749694e-05	0.0014460424807011293	0.00024710852518310437	0.0024131215237016734	0.06183509502390546
