Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2	HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64341577.0	0.0	101.0	50.0	44.94948368717582	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61918610.0	0.0	20-101	49.0	44.8003924753117	97.1228420663836	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1	HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44940444.0	0.0	101.0	49.0	50.648333997823514	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43226423.0	0.0	20-101	49.0	50.89632225544203	97.22188292100876	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2	HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44940444.0	0.0	101.0	49.0	51.197653350554184	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43226423.0	0.0	20-101	49.0	50.96439874884771	97.05841896749125	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1	HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73535954.0	0.0	101.0	49.0	44.83946391454647	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70739846.0	0.0	20-101	49.0	45.03649324749357	97.36115509779312	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2	HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73535954.0	0.0	101.0	49.0	45.646571156160306	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70739846.0	0.0	20-101	49.0	45.43840786548788	97.11679202694334	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1	HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62889838.0	0.0	101.0	50.0	43.70437587494518	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61051362.0	0.0	20-101	50.0	43.82790461085007	97.91188720736484	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2	HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62889838.0	0.0	101.0	50.0	44.241831441821674	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61051362.0	0.0	20-101	50.0	44.04167283306386	97.71117578015705	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1	HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36185523.0	0.0	101.0	50.0	50.81146247831836	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	fail	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34503308.0	0.0	20-101	50.0	51.75650802327682	97.6868491566084	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2	HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36185523.0	0.0	101.0	50.0	51.54207922930903	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	fail	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34503308.0	0.0	20-101	50.0	51.86975194441176	97.45790241329904	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass	fail
